Part report

Program name,T-798-2.72-2.20-RSJ-STRATE
Measurement Date,11/15/2025
Time,11:31:36 AM 
Lot No.,
Serial Counter,0001
Name,
Item name,
Measurement device,KEYENCE IM Series(PC-O0NRGJ68663T)
Overall result,OK
Remarks,

Measurement results
No.,measurement item,mes. value,units,design val.,upper limit,lower limit,res.
1,A1,85.89,deg,85.92,0.20,-0.20,OK,
2,A2,86.14,deg,85.92,0.20,-0.20,OK,
3,A3,94.00,deg,94.08,0.20,-0.20,OK,
4,A4,93.97,deg,94.08,0.20,-0.20,OK,
5,E1,2.223,mm,2.206,0.020,-0.020,OK,
6,E2,2.738,mm,2.726,0.020,-0.020,OK,
7,E3,2.216,mm,2.135,0.020,-0.020,OK,
8,E4,2.430,mm,2.410,0.020,-0.020,OK,
9,W1,2.214,mm,2.200,0.020,-0.020,OK,
